Usuario,ID del tweet,Contenido
JDOviedoA,1691809045982667052,"La autoridad no es imponerse o hablar duro, es actuar con #legitimidad. Con nuestro plan de choque de 100 días, recuperaremos la #confianza ciudadana, transformando localidades y reduciendo los índices de inseguridad.💪🏙️#OviedoCabezaYCorazón https://t.co/ebmpF1NxS0"
JDOviedoA,1691835397641314426,"Lo que promovemos es un modelo gerencial para #Bogotá: en Seguridad necesitamos autoridad y gerencia. En los primeros 100 días vamos a tener Puestos de Mando Unificado en 5 localidades, 24/7 para afrontar la criminalidad y desmantelarlos."
JDOviedoA,1691848516111401398,"No podemos permitir que sigan “jugando” con los habitantes de #Bogotá, a través del tema del tranvía o las mil formas del Metro y su primera línea, eso ya está."
JDOviedoA,1689569273826377729,"If you own a mouse, you will never turn off your computer again."
JDOviedoA,1691847076714340620,"RT @CaracolRadio: #VanessaPregúnteleAOviedo @JDOviedoA En 10 AM Hoy por Hoy el candidato Juan Daniel Oviedo respondió a preguntas al azar y aseguró que esa zona, de la localidad de Usme, está abandonada"
JDOviedoA,1691846596156162179,"#VanessaPregúnteleAOviedo @JDOviedoA En 10 AM Hoy por Hoy el candidato Juan Daniel Oviedo respondió a preguntas al azar y aseguró que esa zona, de la localidad de Usme, está abandonada"
JDOviedoA,1691842257266090048,"RT @vanedelatorre: @CarlosFGalan @GustavoBolivar @JDOviedoA @petrogustavo 📻 “Lo que más me ha sorprendido en la vida ha sido conocer el amor de vida en la calle, ya llevamos 12 años con Sebastián”: @JDOviedoA, candidato a la Alcaldía de Bogotá."
JDOviedoA,1691842010288677200,"@CarlosFGalan @GustavoBolivar @JDOviedoA @petrogustavo 📻 “Lo que más me ha sorprendido en la vida ha sido conocer el amor de vida en la calle, ya llevamos 12 años con Sebastián”: @JDOviedoA, candidato a la Alcaldía de Bogotá."
JDOviedoA,1691836423559668187,"RT @vanedelatorre: @CarlosFGalan @GustavoBolivar @JDOviedoA @petrogustavo 📻 “Lo que necesita Bogotá en términos de seguridad es gerencia”: @JDOviedoA, candidato a la Alcaldía de Bogotá."
JDOviedoA,1691834751202562293,"@CarlosFGalan @GustavoBolivar @JDOviedoA @petrogustavo 📻 “Lo que necesita Bogotá en términos de seguridad es gerencia”: @JDOviedoA, candidato a la Alcaldía de Bogotá."
JDOviedoA,1687652389980114944,RT @FIFAWWC: The Round of 16 is ON! 🏆🔥
JDOviedoA,1687652105576964096,The Round of 16 is ON! 🏆🔥
JDOviedoA,1691831846424678528,"RT @CaracolRadio: #EnVivo “Fui el mejor estudiante siempre, el nerd”: @JDOviedoA, candidato a la Alcaldía de Bogotá."
JDOviedoA,1691831771011145976,"#EnVivo “Fui el mejor estudiante siempre, el nerd”: @JDOviedoA, candidato a la Alcaldía de Bogotá."
JDOviedoA,1691830642437226947,"RT @CaracolRadio: #EnVivo “Crecí alrededor del amor de mi mamá”: @JDOviedoA, candidato a la Alcaldía de Bogotá"
JDOviedoA,1691830408659280008,"#EnVivo “Crecí alrededor del amor de mi mamá”: @JDOviedoA, candidato a la Alcaldía de Bogotá"
JDOviedoA,1691827572240269551,"👋🏼Holaaa, en minutos con @vanedelatorre en @CaracolRadio, así que los invito a conectarse, a acompañarme y a enviar sus preguntas con el HT #VanessaPregúnteleAOviedo. 🤩⚡️"
JDOviedoA,1691824601121087621,"RT @vanedelatorre: En minutos inicia #10AM de @CaracolRadio. Hablaremos con los candidatos a la Alcaldía de Bogotá @CarlosFGalan, @GustavoBolivar y @JDOviedoA. Sus comentarios con"
JDOviedoA,1691824390193725447,"En minutos inicia #10AM de @CaracolRadio. Hablaremos con los candidatos a la Alcaldía de Bogotá @CarlosFGalan, @GustavoBolivar y @JDOviedoA. Sus comentarios con"
JDOviedoA,1689604757126598656,We are excited to see our recent study featured by @Infobae in its Spanish report on top five #RNA applications!
JDOviedoA,1691817351639884217,RT @CaracolRadio: Los candidatos a la Alcaldía de Bogotá @CarlosFGalan @GustavoBolivar y @JDOviedoA se destapan en #10AM este miércoles 16 de agosto. Conozca sus propuestas y lo que harían en caso de ganar las elecciones.
JDOviedoA,1691817085435834723,Los candidatos a la Alcaldía de Bogotá @CarlosFGalan @GustavoBolivar y @JDOviedoA se destapan en #10AM este miércoles 16 de agosto. Conozca sus propuestas y lo que harían en caso de ganar las elecciones.
JDOviedoA,1691817148128145438,"RT @JDOviedoA: La autoridad no es imponerse o hablar duro, es actuar con #legitimidad. Con nuestro plan de choque de 100 días, recuperaremos la #confianza ciudadana, transformando localidades y reduciendo los índices de inseguridad.💪🏙️#OviedoCabezaYCorazón https://t.co/ebmpF1NxS0"
JDOviedoA,1691816846305931403,RT @vanedelatorre: #VanessaPregúnteleAGalán
JDOviedoA,1691816447738020277,#VanessaPregúnteleAGalán
JDOviedoA,1691814412783341992,@vanedelatorre @CarlosFGalan @GustavoBolivar @JDOviedoA @CaracolRadio #VanessaPreguntéleAGalán ¿Cuál va ser el plan de trabajo con las cerca de 1780 Juntas de Acción Comunal y unos 600.000 afiliados a estas organizaciones que tenemos en la ciudad?
JDOviedoA,1691816777276080316,RT @vanedelatorre: Todas sus preguntas hoy a @CarlosFGalan las recibimos con #VanessaPregúnteleAGalán. Nos vemos en minutos al aire en #10AM de @CaracolRadio. https://t.co/PrZEaAMuFH
JDOviedoA,1691816398694027462,Todas sus preguntas hoy a @CarlosFGalan las recibimos con #VanessaPregúnteleAGalán. Nos vemos en minutos al aire en #10AM de @CaracolRadio. https://t.co/PrZEaAMuFH
JDOviedoA,1691809729071223253,RT @darcyquinnr: #UnVerdaderoCambioEs pagar el pasaje de transmilenio
JDOviedoA,1691768991696494661,#UnVerdaderoCambioEs pagar el pasaje de transmilenio
JDOviedoA,1691450903440904193,Transmilenio.
JDOviedoA,1691809542772847079,RT @vanedelatorre: #VanessaPregúnteleAOviedo
JDOviedoA,1691806610916565265,#VanessaPregúnteleAOviedo
JDOviedoA,1691802057202692369,@vanedelatorre @vanedelatorre #VanessaPregúnteleAOviedo si le gusta montar en transmilenio y que haría para la seguridad en el mismo @JDOviedoA
JDOviedoA,1691809387654819950,RT @vanedelatorre: ¿Qué le preocupa de Bogotá? Pregúntele a los candidatos a la Alcaldía de Bogotá por su inquietud.
JDOviedoA,1691805425593631213,¿Qué le preocupa de Bogotá? Pregúntele a los candidatos a la Alcaldía de Bogotá por su inquietud.
JDOviedoA,1691809021815030003,"RT @mauroarroyave: Ayer un amigo botó el celular en Bogotá. Cuando llamamos a su teléfono perdido, contestó un señor  decente que nos devolvió el celular. Ni siquiera quiso recibir una recompensa. Por qué no contamos casos similares, para sanar un poco esta alma asustada que tenemos en esta ciudad?"
JDOviedoA,1691808914579275778,"Ayer un amigo botó el celular en Bogotá. Cuando llamamos a su teléfono perdido, contestó un señor  decente que nos devolvió el celular. Ni siquiera quiso recibir una recompensa. Por qué no contamos casos similares, para sanar un poco esta alma asustada que tenemos en esta ciudad?"
JDOviedoA,1691792190014382279,RT @daviddiazarte: Liberense de ideologías y voten por propuestas.
JDOviedoA,1691791472197042463,Liberense de ideologías y voten por propuestas.
JDOviedoA,1691792131545784645,"RT @Siano38628837: @JDOviedoA Nos falto tu visita por engativa, los cerezos, queremos que sea la persona qye nos saque de esta crisis que esta viviendo Bogotá, mucho ladrones, muchos femenisidios, ley dura estilo japon. Confiamos en ti Oviedo, 🙏👍💪"
JDOviedoA,1690520416874323969,"@JDOviedoA Nos falto tu visita por engativa, los cerezos, queremos que sea la persona qye nos saque de esta crisis que esta viviendo Bogotá, mucho ladrones, muchos femenisidios, ley dura estilo japon. Confiamos en ti Oviedo, 🙏👍💪"
JDOviedoA,1691809045982667052,"La autoridad no es imponerse o hablar duro, es actuar con #legitimidad. Con nuestro plan de choque de 100 días, recuperaremos la #confianza ciudadana, transformando localidades y reduciendo los índices de inseguridad.💪🏙️#OviedoCabezaYCorazón https://t.co/ebmpF1NxS0"
JDOviedoA,1691791727722430964,RT @vanedelatorre: #VanessaPregúnteleAGalán
JDOviedoA,1691785023199060326,#VanessaPregúnteleAGalán
JDOviedoA,1691784633841594394,@vanedelatorre @CarlosFGalan #VanessaPregunteleAGalan porqué siempre hablá del gobierno nacional y no se enfoca en propuestas reales para la capital.
JDOviedoA,1639341560910209042,"If you own a mouse, you will never turn off your computer again."
JDOviedoA,1691791663352471619,RT @vanedelatorre: #VanessaPregúnteleAOviedo
JDOviedoA,1691790970843541860,#VanessaPregúnteleAOviedo
JDOviedoA,1691786784022131133,"Que hacemos con el IDU, es una entidad que no da resultados, obras abandonados, contratistas irreponsables, y peor aún le siguen otorgando contratos."
JDOviedoA,1691791574311526412,RT @vanedelatorre: Hoy en #10AM tendremos nuestra conversación con tres de los candidatos a la Alcaldía de Bogotá. Me pueden dejar sus preguntas a los candidatos con #VanessaPregúnteleAGalán #VanessaPregúnteleABolívar #VanessaPregúnteleAOviedo https://t.co/8F6iwVm3hq
JDOviedoA,1691782101962539507,Hoy en #10AM tendremos nuestra conversación con tres de los candidatos a la Alcaldía de Bogotá. Me pueden dejar sus preguntas a los candidatos con #VanessaPregúnteleAGalán #VanessaPregúnteleABolívar #VanessaPregúnteleAOviedo https://t.co/8F6iwVm3hq
JDOviedoA,1691791554480836818,RT @vanedelatorre: #VanessaPregúnteleAOviedo
JDOviedoA,1691790144116789686,#VanessaPregúnteleAOviedo
JDOviedoA,1691789838041665776,@vanedelatorre Obvio vamos con Oviedo
JDOviedoA,1691791498105311528,RT @vanedelatorre: ¿Qué proponen los candidatos a la Alcaldía de Bogotá en cuanto a seguridad? Hoy en #10AM con @JDOviedoA @CarlosFGalan @GustavoBolivar
JDOviedoA,1691791432929993065,¿Qué proponen los candidatos a la Alcaldía de Bogotá en cuanto a seguridad? Hoy en #10AM con @JDOviedoA @CarlosFGalan @GustavoBolivar
JDOviedoA,1681619344466358273,Qué lee la gente en este momento? Cambie las columnas de chismes por educación financiera gratuita.
JDOviedoA,1691785320667431241,"RT @vanedelatorre: El candidato a la Alcaldía de Bogotá, @JDOviedoA, hoy nos acompañará en #10AM. ¿Qué mensaje quiere hacerle llegar? Lo leemos con #VanessaPregúnteleAOviedo https://t.co/CHBBcDXKNq"
JDOviedoA,1691784479117824352,"El candidato a la Alcaldía de Bogotá, @JDOviedoA, hoy nos acompañará en #10AM. ¿Qué mensaje quiere hacerle llegar? Lo leemos con #VanessaPregúnteleAOviedo https://t.co/CHBBcDXKNq"
JDOviedoA,1691753687784296822,RT @Jesus_lamouroux: ¿Por quién votarán para la alcaldía de #Bogotá este 29 de octubre?
JDOviedoA,1691570598353228227,¿Por quién votarán para la alcaldía de #Bogotá este 29 de octubre?
JDOviedoA,1691753540966813929,RT @Canal1Colombia: #SinCarreta #Video | Juan Daniel Oviedo es el primer candidato a la Alcaldía de Bogotá que se le mide a sentarse frente al polígrafo. https://t.co/U30PrOqfDA
JDOviedoA,1691608749033902413,#SinCarreta #Video | Juan Daniel Oviedo es el primer candidato a la Alcaldía de Bogotá que se le mide a sentarse frente al polígrafo. https://t.co/U30PrOqfDA
JDOviedoA,1691753421269856336,RT @Canal1Colombia: #LoMásVisto #SinCarreta | Varios usuarios se encuentran inconformes con el incremento de los cobros de las plataformas de transporte
JDOviedoA,1691752185665614187,#LoMásVisto #SinCarreta | Varios usuarios se encuentran inconformes con el incremento de los cobros de las plataformas de transporte
JDOviedoA,1681792999771066375,1.Compra Cerveza Aguila y escanea el QR​
JDOviedoA,1691672155442782214,"RT @diegoedisson: @JDOviedoA @fceunal Eres el mejor principe 🤴 a trabajar duro y estructurar un programa diferencial, innovador y contundente para ganarle a esas dos máquinarias"
JDOviedoA,1691650365144416319,"@JDOviedoA @fceunal Eres el mejor principe 🤴 a trabajar duro y estructurar un programa diferencial, innovador y contundente para ganarle a esas dos máquinarias"
JDOviedoA,1691672133087150493,RT @jucear69: @JDOviedoA @fceunal CÉSAR ARIAS https://t.co/4D3xVeSqRT
JDOviedoA,1691627366416560153,@JDOviedoA @fceunal CÉSAR ARIAS https://t.co/4D3xVeSqRT
JDOviedoA,1691672025708847219,"RT @JDOviedoA: El modelo de gobernar que proponemos para #Bogotá es reconocer las realidades, y garantizar la #seguridad con autoridad, la #movilidad con convivencia, la reducción de la pobreza con generación de #empleo y emprendimiento."
JDOviedoA,1691624042539749462,"El modelo de gobernar que proponemos para #Bogotá es reconocer las realidades, y garantizar la #seguridad con autoridad, la #movilidad con convivencia, la reducción de la pobreza con generación de #empleo y emprendimiento."
JDOviedoA,1691647482915066283,RT @cjportillaj: @JuanKarlosVeneg @CarlosATierra @Siano38628837 @CxRamirezMiguel @aringind @JeissonRayo_Co @ConTodaBogota @JDOviedoA @knataliag @almaredondo22 @Yamidmerchan @JovenesOviedo @JDaniel_Oviedo_ @CamiloMartinezN @RobertGrajales_ @fansOviedoJuanD @JDOviedoAlcalde @amparopelaez @ROVIEDOA @Bogota @SoyJerome__ @FernanMartinez @julianclavijoo @Carlostamayo05 @FabianPardoR @rcnradio @Margari36127692 @gmedinaolarte @JulianArdilaB @MaytenOrtiz @ELTIEMPO @RevistaSemana @DieegoR10 @osomarcela @Niltorres_1 @Claudia049110 Amén y Amén
JDOviedoA,1691584537665360099,@JuanKarlosVeneg @CarlosATierra @Siano38628837 @CxRamirezMiguel @aringind @JeissonRayo_Co @ConTodaBogota @JDOviedoA @knataliag @almaredondo22 @Yamidmerchan @JovenesOviedo @JDaniel_Oviedo_ @CamiloMartinezN @RobertGrajales_ @fansOviedoJuanD @JDOviedoAlcalde @amparopelaez @ROVIEDOA @Bogota @SoyJerome__ @FernanMartinez @julianclavijoo @Carlostamayo05 @FabianPardoR @rcnradio @Margari36127692 @gmedinaolarte @JulianArdilaB @MaytenOrtiz @ELTIEMPO @RevistaSemana @DieegoR10 @osomarcela @Niltorres_1 @Claudia049110 Amén y Amén
JDOviedoA,1691647454268039183,RT @CarlosATierra: @cjportillaj @JuanKarlosVeneg @Siano38628837 @CxRamirezMiguel @aringind @JeissonRayo_Co @ConTodaBogota @JDOviedoA @knataliag @almaredondo22 @Yamidmerchan @JovenesOviedo @JDaniel_Oviedo_ @CamiloMartinezN @RobertGrajales_ @fansOviedoJuanD @JDOviedoAlcalde @amparopelaez @ROVIEDOA @Bogota @SoyJerome__ @FernanMartinez @julianclavijoo @Carlostamayo05 @FabianPardoR @rcnradio @Margari36127692 @gmedinaolarte @JulianArdilaB @MaytenOrtiz @ELTIEMPO @RevistaSemana @DieegoR10 @osomarcela @Niltorres_1 @Claudia049110 El Caballero de la Política... Señor Alcalde vamos a tener en Bogotá Bogotá Bogotá
JDOviedoA,1691567138463494236,@cjportillaj @JuanKarlosVeneg @Siano38628837 @CxRamirezMiguel @aringind @JeissonRayo_Co @ConTodaBogota @JDOviedoA @knataliag @almaredondo22 @Yamidmerchan @JovenesOviedo @JDaniel_Oviedo_ @CamiloMartinezN @RobertGrajales_ @fansOviedoJuanD @JDOviedoAlcalde @amparopelaez @ROVIEDOA @Bogota @SoyJerome__ @FernanMartinez @julianclavijoo @Carlostamayo05 @FabianPardoR @rcnradio @Margari36127692 @gmedinaolarte @JulianArdilaB @MaytenOrtiz @ELTIEMPO @RevistaSemana @DieegoR10 @osomarcela @Niltorres_1 @Claudia049110 El Caballero de la Política... Señor Alcalde vamos a tener en Bogotá Bogotá Bogotá
JDOviedoA,1691647442238816342,"RT @JuanKarlosVeneg: @CarlosATierra @cjportillaj @Siano38628837 @CxRamirezMiguel @aringind @JeissonRayo_Co @ConTodaBogota @JDOviedoA @knataliag @almaredondo22 @Yamidmerchan @JovenesOviedo @JDaniel_Oviedo_ @CamiloMartinezN @RobertGrajales_ @fansOviedoJuanD @JDOviedoAlcalde @amparopelaez @ROVIEDOA @Bogota @SoyJerome__ @FernanMartinez @julianclavijoo @Carlostamayo05 @FabianPardoR @rcnradio @Margari36127692 @gmedinaolarte @JulianArdilaB @MaytenOrtiz @ELTIEMPO @RevistaSemana @DieegoR10 @osomarcela @Niltorres_1 @Claudia049110 No es facil, pero lo vamos a lograr.."
JDOviedoA,1691569494911500798,"@CarlosATierra @cjportillaj @Siano38628837 @CxRamirezMiguel @aringind @JeissonRayo_Co @ConTodaBogota @JDOviedoA @knataliag @almaredondo22 @Yamidmerchan @JovenesOviedo @JDaniel_Oviedo_ @CamiloMartinezN @RobertGrajales_ @fansOviedoJuanD @JDOviedoAlcalde @amparopelaez @ROVIEDOA @Bogota @SoyJerome__ @FernanMartinez @julianclavijoo @Carlostamayo05 @FabianPardoR @rcnradio @Margari36127692 @gmedinaolarte @JulianArdilaB @MaytenOrtiz @ELTIEMPO @RevistaSemana @DieegoR10 @osomarcela @Niltorres_1 @Claudia049110 No es facil, pero lo vamos a lograr.."
JDOviedoA,1691647398857126251,RT @knataliag: @JDOviedoA Siempre hablando con la verdad. El que nada debe nada teme. https://t.co/8PJTtyD0h3
JDOviedoA,1691608410494550264,@JDOviedoA Siempre hablando con la verdad. El que nada debe nada teme. https://t.co/8PJTtyD0h3
JDOviedoA,1691647033529028722,RT @Liz___Abril: @JDOviedoA Feliz cumpleaños a la má! 🎉
JDOviedoA,1691622122609660253,@JDOviedoA Feliz cumpleaños a la má! 🎉
JDOviedoA,1691646997357289683,RT @bogota6deagosto: @JDOviedoA Felicitaciones a tu mamá Daniel 🎂🌻🎶
JDOviedoA,1691628095923523813,@JDOviedoA Felicitaciones a tu mamá Daniel 🎂🌻🎶
JDOviedoA,1691646971805569352,RT @LuisG7640184: @JDOviedoA Buenas noches Juan Daniel un fuerte abrazo para ella disfrútala y mil bendiciones que cumpla muchos más porque ellas también hacen parte de la historia de Colombia.
JDOviedoA,1691607773954392315,@JDOviedoA Buenas noches Juan Daniel un fuerte abrazo para ella disfrútala y mil bendiciones que cumpla muchos más porque ellas también hacen parte de la historia de Colombia.
JDOviedoA,1691646955720421696,RT @jucear69: @JDOviedoA CÉSAR ARIAS https://t.co/2zcacUjps2
JDOviedoA,1691632455277584496,@JDOviedoA CÉSAR ARIAS https://t.co/2zcacUjps2
JDOviedoA,1691809045982667052,"La autoridad no es imponerse o hablar duro, es actuar con #legitimidad. Con nuestro plan de choque de 100 días, recuperaremos la #confianza ciudadana, transformando localidades y reduciendo los índices de inseguridad.💪🏙️#OviedoCabezaYCorazón https://t.co/ebmpF1NxS0"
JDOviedoA,1691646939404636475,RT @JuanKarlosVeneg: @JDOviedoA Felicitaciones a tu querida madre.
JDOviedoA,1691606342635536477,@JDOviedoA Felicitaciones a tu querida madre.
JDOviedoA,1689569273772228608,"If you own a mouse, you will never turn off your computer again."
JDOviedoA,1691646924829454402,RT @Di_Serrano: @JDOviedoA Excelente Oviedo que reconozca a su madre.
JDOviedoA,1691645273901031729,@JDOviedoA Excelente Oviedo que reconozca a su madre.
JDOviedoA,1691646914524008480,RT @lucyaraujo812: @JDOviedoA Felicidades a tu querida mamá que mi Dios y la vida la llenen de mucha salud 🙏 bendiciones 🥰
JDOviedoA,1691627401745150156,@JDOviedoA Felicidades a tu querida mamá que mi Dios y la vida la llenen de mucha salud 🙏 bendiciones 🥰
JDOviedoA,1691646895326679294,"RT @caroortega24: @JDOviedoA Un abrazo a tu mami, con toda por Bogotá"
JDOviedoA,1691612843798344161,"@JDOviedoA Un abrazo a tu mami, con toda por Bogotá"
JDOviedoA,1691646864947335245,"RT @ROVIEDOA: @JDOviedoA La jefa, la que nos enseño que las metas se obtienen con esfuerzo, honestidad, sin demeritar a nadie, siempre acompañándonos y dándonos animo y fortaleza para no desfallecer en los objetivos que nos trazamos, ella es la riqueza de nuestra familia, gracias madre y feliz cumpleaños"
JDOviedoA,1691607982360977654,"@JDOviedoA La jefa, la que nos enseño que las metas se obtienen con esfuerzo, honestidad, sin demeritar a nadie, siempre acompañándonos y dándonos animo y fortaleza para no desfallecer en los objetivos que nos trazamos, ella es la riqueza de nuestra familia, gracias madre y feliz cumpleaños"
JDOviedoA,1691646817622999060,RT @lucilamejia53: @JDOviedoA https://t.co/rwUdzBS9DI
JDOviedoA,1691618332833681699,@JDOviedoA https://t.co/rwUdzBS9DI
JDOviedoA,1691646600072909136,RT @infobaecolombia: Juan Daniel Oviedo invitó a los ciudadanos a no hacer comentarios de odio en su contra: lo señalan de ser uribista y politiquero https://t.co/UCB0dVHdhz
JDOviedoA,1691441360128380928,Juan Daniel Oviedo invitó a los ciudadanos a no hacer comentarios de odio en su contra: lo señalan de ser uribista y politiquero https://t.co/UCB0dVHdhz
JDOviedoA,1691644236062392752,"RT @JDOviedoA: Un paréntesis. Hoy es el cumpleaños de mi mamá, quien con trabajo y honestidad nos sacó adelante. Son muchas las valientes que así lo han hecho. Mi reconocimiento y agradecimiento siempre."
JDOviedoA,1691605594426200267,"Un paréntesis. Hoy es el cumpleaños de mi mamá, quien con trabajo y honestidad nos sacó adelante. Son muchas las valientes que así lo han hecho. Mi reconocimiento y agradecimiento siempre."
